LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
SABER YELLOW RAY	2	437	tomb rat	
SABER BANISH	3	497	senile lihc	

====================
PULL	DAY	TURN	NUMBER
 brick	1	1	1	
 brick	1	1	2	
 brick	1	1	3	
 brick	1	1	4	
 brick	1	1	5	
 brick	1	1	6	
 brick	1	1	7	
 brick	1	1	8	
 brick	1	1	9	
 brick	1	1	10	
 brick	1	1	11	
 brick	1	1	12	
 brick	1	1	13	
 brick	1	1	14	
 brick	1	1	15	
 brick	1	1	16	
 brick	1	1	17	
 brick	1	1	18	
 brick	1	1	19	
 brick	1	1	20	
 brick	1	1	21	
 brick	1	1	22	
 brick	1	1	23	
 brick	1	1	24	
 brick	1	1	25	
 brick	1	1	26	
 brick	1	1	27	
 brick	1	1	28	
 brick	1	1	29	
 brick	1	1	30	
 brick	1	1	31	
 brick	1	1	32	
 brick	1	1	33	
 brick	1	1	34	
 brick	1	1	35	
 brick	1	1	36	
 brick	1	1	37	
 brick	1	1	38	
 brick	1	1	39	
 brick	1	1	40	
 brick	1	1	41	
 brick	1	1	42	
 brick	1	1	43	
 brick	1	1	44	
 brick	1	1	45	
 brick	1	1	46	
 brick	1	1	47	
 brick	1	1	48	
 brick	1	1	49	
 brick	1	1	50	
 brick	1	1	51	
 brick	1	1	52	
 brick	1	1	53	
 brick	1	1	54	
 brick	1	1	55	
 brick	1	1	56	
 brick	1	1	57	
 brick	1	1	58	
 brick	1	1	59	
 brick	1	1	60	
 brick	1	1	61	
 brick	1	1	62	
 brick	1	1	63	
 brick	1	1	64	
 brick	1	1	65	
 brick	1	1	66	
 brick	1	1	67	
 brick	1	1	68	
 brick	1	1	69	
 brick	1	1	70	

====================
