LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
The Black Forest	18	3	4	0	0	0	0	0	
The Boss Bat's Lair	5	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	1	0	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	2	10	2	0	0	0	7	0	
The Castle in the Clouds in the Sky (Top Floor)	14	1	3	0	0	0	0	0	
The Copperhead Club	4	12	4	0	0	0	10	0	
The Dark Elbow of the Woods	16	1	4	0	0	0	0	1	
The Dark Heart of the Woods	4	2	4	0	0	0	0	2	
The Dark Neck of the Woods	11	6	5	0	0	0	0	5	
The Defiled Alcove	9	0	0	0	0	0	0	0	
The Defiled Cranny	4	0	0	0	0	0	0	0	
The Defiled Niche	9	3	0	3	0	0	0	3	
The Defiled Nook	7	2	0	1	0	0	0	1	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Goatlet	3	1	0	1	0	0	0	1	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	7	0	3	0	0	0	0	0	
The Haunted Bathroom	2	4	0	1	0	0	0	1	
The Haunted Bedroom	5	2	0	1	0	0	0	1	
The Haunted Billiards Room	8	2	2	0	0	0	0	0	
The Haunted Boiler Room	1	0	0	1	0	0	0	0	
The Haunted Gallery	1	5	1	1	0	0	0	1	
The Haunted Kitchen	7	1	0	0	0	0	0	0	
The Haunted Laundry Room	2	2	0	1	0	0	0	1	
The Haunted Library	7	1	1	1	0	0	0	1	
The Haunted Wine Cellar	1	0	0	0	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	8	1	0	1	0	0	1	1	
The Hidden Bowling Alley	10	1	4	0	0	0	0	0	
The Hidden Hospital	7	0	0	0	0	0	0	0	
The Hidden Office Building	8	3	1	0	0	0	0	0	
The Hidden Park	7	0	6	0	0	0	0	0	
The Hidden Temple	5	0	4	0	0	0	0	0	
The Hole in the Sky	7	1	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	5	6	2	1	0	0	2	1	
The Naughty Sorceress' Chamber	3	5	0	0	0	0	0	0	
The Naughty Sorceress' Tower	4	0	0	0	0	0	0	0	
The Neverending Party	11	11	1	0	0	0	0	0	
The Outskirts of Cobb's Knob	8	3	5	0	0	0	0	0	
The Penultimate Fantasy Airship	29	5	6	2	0	0	1	2	
The Red Zeppelin	4	5	0	2	3	0	0	2	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	5	0	5	0	0	0	0	0	
The Smut Orc Logging Camp	20	1	0	0	0	0	0	0	
The Spooky Forest	7	14	6	1	0	0	0	12	
The Tavern Cellar	8	0	2	0	0	0	0	0	
The Themthar Hills	11	0	0	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	3	0	0	0	0	0	0	
The Upper Chamber	4	2	4	1	0	0	0	1	
The VERY Unquiet Garves	11	0	1	0	0	0	0	0	
The X-32-F Combat Training Snowman	0	10	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	4	0	2	0	0	0	0	0	
Wartime Hippy Camp (Frat Disguise)	2	0	1	0	0	0	0	0	
Whitey's Grove	4	0	2	0	0	0	0	0	
Your Witchess Set	0	7	0	0	0	0	3	0	
numberology 51	1	0	0	0	0	0	0	0	
rusty hedge trimmers	1	0	1	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
none	17	0		
Pair of Stomping Boots	83	19	runs	
Trick-or-Treating Tot	186	0		
Pocket Professor	274	21	lectures	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	1	142	
Wednesday - Sneakisol	1	143	
Wednesday - Sneakisol	2	187	
Sunday - Surprise Me	2	271	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	1	26	War Frat 151st Infantryman	
SABER YELLOW RAY	1	72	mountain man	
SABER YELLOW RAY	1	86	a Knob Goblin Harem Girl!	
SABER YELLOW RAY	1	123	Quiet Healer	
SABER YELLOW RAY	1	168	blur	
SABER YELLOW RAY	2	187	banshee librarian	
SABER BANISH	2	285	Flock of Stab-bats	
SABER BANISH	2	306	a coaltergeist!	

====================
