LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
The Daily Dungeon	4	0	1	0	0	0	0	0	
The Dark Elbow of the Woods	6	3	4	0	3	0	0	0	
The Dark Heart of the Woods	4	0	4	0	0	0	0	0	
The Dark Neck of the Woods	14	0	3	0	0	0	0	0	
The Deep Machine Tunnels	0	5	0	0	0	0	0	0	
The Defiled Alcove	3	0	0	0	0	0	0	0	
The Defiled Cranny	4	0	0	0	0	0	0	0	
The Defiled Niche	8	8	0	2	0	0	0	2	
The Defiled Nook	7	1	0	1	0	0	0	1	
The Goatlet	3	2	0	1	0	0	0	1	
The Haunted Ballroom	3	4	3	0	0	0	0	3	
The Haunted Bathroom	5	1	0	0	0	0	0	0	
The Haunted Bedroom	4	3	0	2	0	0	0	2	
The Haunted Billiards Room	5	0	2	0	0	0	0	0	
The Haunted Boiler Room	2	0	0	0	0	0	0	0	
The Haunted Gallery	6	0	1	0	0	0	0	0	
The Haunted Kitchen	9	0	0	0	0	0	0	0	
The Haunted Laundry Room	6	1	0	0	0	0	0	0	
The Haunted Library	7	1	0	0	0	0	0	0	
The Haunted Wine Cellar	5	1	0	0	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	11	2	0	1	0	0	0	1	
The Hidden Bowling Alley	11	2	4	1	0	1	0	1	
The Hidden Hospital	2	2	0	1	0	0	0	1	
The Hidden Office Building	8	3	1	2	0	0	0	2	
The Hidden Park	6	1	1	0	0	0	0	0	
The Hidden Temple	4	0	4	0	0	0	0	0	
The Hole in the Sky	2	2	0	0	0	0	0	0	
The Laugh Floor	17	0	0	0	0	0	0	0	
The Limerick Dungeon	1	0	1	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	18	2	2	1	0	0	0	1	
The Naughty Sorceress' Chamber	1	2	0	0	0	0	0	0	
The Naughty Sorceress' Tower	5	0	0	0	0	0	0	0	
The Neverending Party	2	18	0	0	0	0	0	0	
The Oasis	4	0	1	0	0	0	0	0	
The Outskirts of Cobb's Knob	7	4	1	0	0	0	0	0	
The Overgrown Lot	11	0	2	0	0	0	0	0	
The Penultimate Fantasy Airship	10	16	6	0	0	0	9	0	
The Red Zeppelin	8	5	0	1	4	0	0	1	
The Shore, Inc. Travel Agency	4	0	4	0	0	0	0	0	
The Skeleton Store	0	1	0	0	0	0	0	0	
The Smut Orc Logging Camp	1	3	0	0	0	0	0	3	
The Spooky Forest	11	6	4	0	0	0	0	0	
The Tavern Cellar	9	0	4	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	6	0	0	0	0	0	0	
The Unquiet Garves	3	3	0	0	0	0	0	0	
The Upper Chamber	8	0	5	0	0	0	0	0	
The X-32-F Combat Training Snowman	0	20	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	3	0	0	0	0	0	0	0	
Wartime Hippy Camp (Frat Disguise)	2	0	1	0	0	0	0	0	
Your Witchess Set	1	9	0	0	0	0	1	0	
genie summoned monster	1	1	0	0	0	0	1	0	
photocopied monster	1	0	0	0	0	0	0	0	
rusty hedge trimmers	3	0	3	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
Reassembled Blackbird	10	0		
Purse Rat	5	0		
Baby Sandworm	30	0		
Pair of Stomping Boots	19	15	runs	
Steam-Powered Cheerleader	54	0		
Artistic Goth Kid	38	0		
Gelatinous Cubeling	12	0		
Reanimated Reanimator	1	0		
Fist Turkey	21	0		
Crimbo Shrub	19	0		
Ms. Puck Man	88	0		
Machine Elf	6	0		
Trick-or-Treating Tot	2	0		
Space Jellyfish	4	0		
Cute Meteor	3	0		
Garbage Fire	5	0		
Mu	3	0		
God Lobster	3	0		
Cat Burglar	117	6	heists	
Pocket Professor	12	9	lectures	
Red-Nosed Snapper	2	0	human musks	
Left-Hand Man	4	0		
Melodramedary	70	1	spits	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	1	9	
Wednesday - Sneakisol	1	10	
Wednesday - Sneakisol	1	11	
Wednesday - Sneakisol	1	12	
Wednesday - Sneakisol	2	225	
Sunday - Surprise Me	2	259	
Sunday - Surprise Me	2	260	
Sunday - Surprise Me	2	455	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	2	180	musical fruit bat	
SABER FRIENDS	2	184	sausage goblin	
SABER YELLOW RAY	2	213	a Burly Sidekick!	
SABER YELLOW RAY	2	218	Orcish Frat Boy Spy	

====================
PULL	DAY	TURN	NUMBER
 cursed pony keg	1	1	1	
 brick	1	1	2	
 brick	1	1	3	
 brick	1	1	4	
 brick	1	1	5	
 brick	1	1	6	
 brick	1	1	7	
 brick	1	1	8	
 brick	1	1	9	
 brick	1	1	10	
 brick	1	1	11	
 brick	1	1	12	
 brick	1	1	13	
 brick	1	1	14	
 brick	1	1	15	
 brick	1	1	16	
 brick	1	1	17	
 brick	1	1	18	
 brick	1	1	19	
 brick	1	1	20	
 brick	1	1	21	
 brick	1	1	22	
 brick	1	1	23	
 brick	1	1	24	
 brick	1	1	25	
 brick	1	1	26	
 brick	1	1	27	
 brick	1	1	28	
 brick	1	1	29	
 brick	1	1	30	
 brick	1	1	31	
 brick	1	1	32	
 brick	1	1	33	
 brick	1	1	34	
 brick	1	1	35	
 brick	1	1	36	
 brick	1	1	37	
 brick	1	1	38	
 brick	1	1	39	
 brick	1	1	40	
 brick	1	1	41	
 brick	1	1	42	
 brick	1	1	43	
 brick	1	1	44	
 brick	1	1	45	
 brick	1	1	46	
 brick	1	1	47	
 brick	1	1	48	
 brick	1	1	49	
 brick	1	1	50	
 brick	1	1	51	
 brick	1	1	52	
 brick	1	1	53	
 brick	1	1	54	
 brick	1	1	55	
 brick	1	1	56	
 brick	1	1	57	
 brick	1	1	58	
 brick	1	1	59	
 brick	1	1	60	
 brick	1	1	61	
 brick	1	1	62	
 brick	1	1	63	
 brick	1	1	64	
 brick	1	1	65	
 brick	1	1	66	
 brick	1	1	67	
 brick	1	1	68	
 brick	1	1	69	
 brick	1	1	70	
 brick	1	1	71	
 brick	1	1	72	
 brick	1	1	73	
 brick	1	1	74	
 brick	1	1	75	
 brick	1	1	76	
 brick	1	1	77	
 brick	1	1	78	
 brick	1	1	79	
 brick	1	1	80	
 brick	1	1	81	
 brick	1	1	82	
 brick	1	1	83	
 brick	1	1	84	
 brick	1	1	85	
 brick	1	1	86	
 brick	1	1	87	
 brick	1	1	88	
 brick	1	1	89	
 brick	1	1	90	
 brick	1	1	91	
 brick	1	1	92	
 brick	1	1	93	
 brick	1	1	94	
 brick	1	1	95	
 brick	1	1	96	
 brick	1	1	97	
 brick	1	1	98	
 brick	1	1	99	
 brick	1	1	100	
 brick	1	1	101	
 brick	1	1	102	
 brick	1	1	103	
 brick	1	1	104	
 brick	1	1	105	
 brick	1	1	106	
 brick	1	1	107	
 brick	1	1	108	
 brick	1	1	109	
 brick	1	1	110	
 brick	1	1	111	
 brick	1	1	112	
 brick	1	1	113	
 brick	1	1	114	
 brick	1	1	115	
 brick	1	1	116	
 brick	1	1	117	
 brick	1	1	118	
 brick	1	1	119	
 brick	1	1	120	
 brick	1	1	121	
 brick	1	1	122	
 brick	1	1	123	
 brick	1	1	124	
 brick	1	1	125	
 brick	1	1	126	
 brick	1	1	127	
 packet of thanksgarden seeds	1	1	128	
 etched hourglass	1	1	129	
 can of Rain-Doh	1	1	130	
 Buddy Bjorn	1	1	131	
 numberwang	1	1	132	
 Snow Suit	1	1	133	
 infinite BACON machine	1	1	134	
 Bastille Battalion control rig	1	1	135	
 milk of magnesium	1	77	136	
 Spooky-Gro fertilizer	1	87	137	
 Boris's key lime pie	1	104	138	
 cornucopia	1	178	139	
 cornucopia	1	178	140	
 cornucopia	1	178	141	
 cornucopia	1	178	142	
 cornucopia	1	178	143	
 cornucopia	1	178	144	
 cornucopia	1	178	145	
 cornucopia	1	178	146	
 cornucopia	1	178	147	
 cornucopia	1	178	148	
 blackberry galoshes	2	189	149	
 ninja rope	2	206	150	
 ninja crampons	2	206	151	
 ninja carabiner	2	206	152	
 deck of lewd playing cards	2	206	153	
 smut orc keepsake box	2	218	154	
 smut orc keepsake box	2	218	155	
 smut orc keepsake box	2	218	156	
 smut orc keepsake box	2	218	157	
 smut orc keepsake box	2	218	158	
 smut orc keepsake box	2	218	159	
 wet stew	2	221	160	
 amulet of extreme plot significance	2	225	161	
 cornucopia	2	307	162	
 cornucopia	2	307	163	
 cornucopia	2	307	164	
 cornucopia	2	307	165	
 cornucopia	2	337	166	
 cornucopia	2	337	167	
 cornucopia	2	337	168	

====================
