LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
Machine Elf	10	0		
Intergnat	215	0		
Trick-or-Treating Tot	6	0		
Space Jellyfish	13	0		
Cute Meteor	7	0		
XO Skeleton	33	0		
Garbage Fire	5	0		
God Lobster	3	0		
Cat Burglar	38	2	heists	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	1	157	
Wednesday - Sneakisol	1	158	
Wednesday - Sneakisol	1	159	
Wednesday - Sneakisol	1	160	
Wednesday - Sneakisol	1	161	
Wednesday - Sneakisol	1	161	
Wednesday - Sneakisol	1	162	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	1	166	mountain man	
SABER YELLOW RAY	1	166	mountain man	
SABER YELLOW RAY	1	186	Quiet Healer	
SABER FRIENDS	2	486	Blooper WITH SCIENCE!	
SABER FRIENDS	2	488	Blooper NAMED NEIL	
SABER FRIENDS	2	490	Blooper AND TESLA!	
SABER FRIENDS	2	492	Blooper NAMED NEIL	
SABER BANISH	2	584	gaunt ghuol	
SABER FRIENDS	3	627	ancient unspeakable bugbear	
SABER YELLOW RAY	3	707	shifty pirate	
SABER FRIENDS	3	707	a sassy pirate!	
SABER FRIENDS	3	709	sassy pirate	

====================
