LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
rusty hedge trimmers	3	0	3	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
Reassembled Blackbird	3	0		
Hobo Monkey	34	0		
Imitation Crab	5	0		
Baby Sandworm	23	0		
He-Boulder	1	0		
Mini-Hipster	2	0		
Obtuse Angel	3	0		
Pair of Stomping Boots	137	28	runs	
Artistic Goth Kid	23	0		
Nanorhino	2	0		
Machine Elf	5	0		
XO Skeleton	309	0		
God Lobster	11	0		
Cat Burglar	1	0	heists	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	1	52	banshee librarian	
SABER BANISH	2	60	Wardr&ouml;b nightstand	
SABER BANISH	2	66	Spunky Princess	
SABER YELLOW RAY	2	76	blackberry bush	
SABER YELLOW RAY	2	98	swarm of scarab beatles	
SABER YELLOW RAY	2	98	swarm of scarab beatles	
SABER FRIENDS	4	289	Bob Racecar	

====================
PULL	DAY	TURN	NUMBER
 brick	1	1	1	
 brick	1	1	2	
 brick	1	1	3	
 brick	1	1	4	
 brick	1	1	5	
 brick	1	1	6	
 brick	1	1	7	

====================
