LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
The Beanbat Chamber	0	2	0	0	0	0	0	1	
The Black Forest	15	1	2	0	0	0	0	0	
The Boss Bat's Lair	3	4	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	2	0	2	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	2	9	2	0	0	0	0	9	
The Castle in the Clouds in the Sky (Top Floor)	8	1	2	0	0	0	0	1	
The Copperhead Club	6	10	5	1	0	0	4	1	
The Dark Elbow of the Woods	7	3	4	0	0	0	0	3	
The Dark Heart of the Woods	10	7	4	0	7	0	0	0	
The Dark Neck of the Woods	9	0	4	0	0	0	0	0	
The Deep Machine Tunnels	1	15	1	0	0	0	0	0	
The Defiled Alcove	6	0	0	0	0	0	0	0	
The Defiled Cranny	5	0	0	0	0	0	0	0	
The Defiled Niche	9	2	0	2	0	0	0	2	
The Defiled Nook	6	1	0	1	0	0	0	1	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Goatlet	4	2	0	2	0	0	0	2	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	5	2	2	0	0	0	0	0	
The Haunted Bathroom	1	5	0	0	0	0	0	0	
The Haunted Bedroom	4	3	0	2	0	0	0	2	
The Haunted Billiards Room	9	0	7	0	0	0	0	0	
The Haunted Boiler Room	1	0	0	0	0	0	0	0	
The Haunted Conservatory	0	1	0	0	0	0	0	0	
The Haunted Gallery	6	0	1	0	0	0	0	0	
The Haunted Kitchen	7	0	0	0	0	0	0	0	
The Haunted Laundry Room	3	1	0	1	0	0	0	1	
The Haunted Library	8	0	0	0	0	0	0	0	
The Haunted Pantry	6	0	1	0	0	0	0	0	
The Haunted Wine Cellar	3	1	0	0	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	9	4	0	2	2	0	0	2	
The Hidden Bowling Alley	7	1	4	1	0	1	0	1	
The Hidden Hospital	4	2	0	2	0	0	0	1	
The Hidden Office Building	5	6	1	1	1	0	0	1	
The Hidden Park	1	7	1	0	0	0	6	0	
The Hidden Temple	4	0	4	0	0	0	0	0	
The Hole in the Sky	2	0	0	0	0	0	0	0	
The Laugh Floor	8	0	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	5	6	2	0	0	0	0	6	
The Naughty Sorceress' Chamber	1	2	0	0	0	0	0	0	
The Naughty Sorceress' Tower	7	0	0	0	0	0	0	0	
The Neverending Party	0	27	0	0	0	0	0	0	
The Outskirts of Cobb's Knob	8	3	2	0	0	0	0	0	
The Overgrown Lot	11	0	2	0	0	0	0	0	
The Penultimate Fantasy Airship	6	21	6	0	0	0	9	11	
The Red Zeppelin	4	7	0	2	5	0	0	2	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	4	0	4	0	0	0	0	0	
The Smut Orc Logging Camp	9	0	2	0	0	0	0	0	
The Spooky Forest	10	6	5	0	0	0	0	0	
The Tavern Cellar	6	0	2	0	0	0	0	0	
The Themthar Hills	9	0	0	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	12	0	0	0	0	0	0	
The Unquiet Garves	1	6	0	0	0	0	5	0	
The Upper Chamber	3	3	2	0	2	0	0	0	
The X-32-F Combat Training Snowman	0	30	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	5	3	3	2	0	0	0	2	
Wartime Hippy Camp	3	7	1	0	7	0	0	0	
Whitey's Grove	2	0	0	0	0	0	0	0	
Your Witchess Set	0	20	0	0	0	0	1	0	
genie summoned monster	1	1	0	0	0	0	0	0	
numberology 51	2	0	0	0	0	0	0	0	
photocopied monster	0	1	0	0	0	0	0	0	
rusty hedge trimmers	1	0	1	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
Hobo Monkey	10	0		
Baby Sandworm	19	0		
Rogue Program	41	0		
Pair of Stomping Boots	86	31	runs	
Bloovian Groose	19	0		
Steam-Powered Cheerleader	40	0		
Artistic Goth Kid	17	0		
Gelatinous Cubeling	12	0		
Reanimated Reanimator	1	0		
Warbear Drone	1	0		
Fist Turkey	34	0		
Crimbo Shrub	48	0		
Ms. Puck Man	60	0		
Machine Elf	16	0		
Space Jellyfish	8	0		
Cute Meteor	6	0		
XO Skeleton	4	0		
Mu	10	0		
God Lobster	9	0		
Cat Burglar	39	1	heists	
Pocket Professor	67	24	lectures	
Red-Nosed Snapper	18	0	human musks	
Left-Hand Man	1	0		
Melodramedary	34	1	spits	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	1	13	
Wednesday - Sneakisol	1	14	
Wednesday - Sneakisol	1	15	
Wednesday - Sneakisol	1	17	
Wednesday - Sneakisol	1	17	
Wednesday - Sneakisol	1	18	
Wednesday - Sneakisol	1	18	
Wednesday - Sneakisol	2	133	
Wednesday - Sneakisol	2	136	
Wednesday - Sneakisol	3	160	
Wednesday - Sneakisol	4	412	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	3	156	Burly Sidekick	
SABER YELLOW RAY	3	157	Quiet Healer	
SABER FRIENDS	3	171	a lobsterfrogman!	
SABER FRIENDS	3	173	lobsterfrogman	
SABER BANISH	3	274	pygmy witch nurse	

====================
