LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
The Castle in the Clouds in the Sky (Top Floor)	3	0	3	0	0	0	0	0	
The Copperhead Club	4	12	4	0	0	0	9	0	
The Daily Dungeon	6	0	2	0	0	0	0	0	
The Dark Elbow of the Woods	12	0	4	0	0	0	0	0	
The Dark Heart of the Woods	13	0	4	0	0	0	0	0	
The Dark Neck of the Woods	8	0	4	0	0	0	0	0	
The Defiled Alcove	8	0	0	0	0	0	0	0	
The Defiled Cranny	12	0	0	0	0	0	0	0	
The Defiled Niche	12	3	0	3	0	0	0	2	
The Defiled Nook	11	0	0	0	0	0	0	0	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	5	1	2	0	0	0	0	0	
The Haunted Bathroom	1	5	0	0	0	0	0	0	
The Haunted Bedroom	6	2	0	2	0	0	0	2	
The Haunted Billiards Room	3	1	2	0	0	0	0	0	
The Haunted Boiler Room	1	0	0	0	0	0	0	0	
The Haunted Gallery	6	1	1	0	0	0	0	0	
The Haunted Kitchen	6	1	0	0	0	0	0	0	
The Haunted Laundry Room	6	1	0	1	0	0	0	1	
The Haunted Library	8	1	0	1	0	0	0	1	
The Haunted Wine Cellar	4	0	0	0	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	8	1	0	1	0	0	0	1	
The Hidden Bowling Alley	10	10	4	1	0	0	0	1	
The Hidden Hospital	2	1	0	1	0	0	0	1	
The Hidden Office Building	8	0	1	0	0	0	0	0	
The Hidden Park	7	0	2	0	0	0	0	0	
The Hidden Temple	5	0	4	0	0	0	0	0	
The Hole in the Sky	9	1	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	12	2	2	2	0	0	0	1	
The Naughty Sorceress' Chamber	1	0	0	0	0	0	0	0	
The Naughty Sorceress' Tower	5	0	0	0	0	0	0	0	
The Neverending Party	0	15	0	0	0	0	0	0	
The Oasis	9	0	2	0	0	0	0	0	
The Outskirts of Cobb's Knob	1	10	1	0	0	0	9	0	
The Penultimate Fantasy Airship	22	4	6	0	0	0	0	0	
The Red Zeppelin	3	7	0	2	5	0	0	2	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	1	0	1	0	0	0	0	0	
The Smut Orc Logging Camp	17	0	4	0	0	0	0	0	
The Spooky Forest	8	5	5	1	0	0	0	1	
The Tavern Cellar	7	0	5	0	0	0	0	0	
The Themthar Hills	15	0	0	0	0	0	0	0	
The Unquiet Garves	2	2	0	0	0	0	0	0	
The Upper Chamber	5	1	4	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	8	1	3	1	0	0	0	1	
Wartime Hippy Camp (Frat Disguise)	2	0	1	0	0	0	0	0	
Your Mushroom Garden	0	10	0	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
none	9	0		
Reassembled Blackbird	15	0		
Exotic Parrot	10	0		
Oily Woim	16	0		
Gelatinous Cubeling	12	0		
Garbage Fire	6	0		
Cat Burglar	228	1	heists	
Pocket Professor	167	18	lectures	
Red-Nosed Snapper	45	2	human musks	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	1	37	
Wednesday - Sneakisol	1	137	
Wednesday - Sneakisol	2	234	
Wednesday - Sneakisol	2	236	

====================
INGREDIENTS	DAY	TURN	ADVS	EFFECT	ITEMS	MUS	MYS	MOX
BPTT: blood-faced volleyball, pie man was not meant to eat, Taco Dan's Taco Stand Taco, Taco Dan's Taco Stand Taco	1	1	15	 | Bloody-minded (20)	 | Pocket Professor memory chip	0	0	0	
AMMS: anticheese, Middle of the Road&trade; brand whiskey, Middle of the Road&trade; brand whiskey, slimy fermented bile bladder	1	1	12	 | Amorous Avarice (17)		0	0	0	
DIRT: disease, imitation White Russian, rusty grave robbing shovel, Tears of the Quiet Healer	2	250	9	 | Dirty Pear (14)	 | short writ of habeas corpus | cocktail napkin | glark cable	0	0	0	
WPPS: wet stew, Purple Beast energy drink, Purple Beast energy drink, snifter of thoroughly aged brandy	2	452	10	 | Well-Lubed (12)		0	0	0	
HARE: handful of moss, antique packet of ketchup, reinforced beaded headband, enchanted bean burrito	2	461	10	 | Hare-o-dynamic (21)		0	0	0	
PASS: pie man was not meant to eat, amulet of extreme plot significance, soft green echo eyedrop antidote, suntan lotion of moxiousness	2	461	12	 | Pasta Oneness (29)	 | disassembled clover	0	0	0	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	1	1	dirty hippy	
SABER YELLOW RAY	1	69	beanbat	
SABER YELLOW RAY	1	106	Quiet Healer	
SABER BANISH	1	116	senile lihc	
SABER YELLOW RAY	1	156	Burly Sidekick	
SABER YELLOW RAY	2	224	a Knob Goblin Harem Girl!	
SABER FRIENDS	2	261	a lobsterfrogman!	
SABER FRIENDS	2	263	lobsterfrogman	
SABER BANISH	2	398	tomb asp	

====================
PULL	DAY	TURN	NUMBER
 cursed pony keg	1	1	1	
 facsimile dictionary	1	1	2	
 Shore Inc. Ship Trip Scrip	1	1	3	
 Shore Inc. Ship Trip Scrip	1	1	4	
 Shore Inc. Ship Trip Scrip	1	1	5	
 vial of humanoid growth hormone	1	1	6	
 pie man was not meant to eat	1	1	7	
 colossal free-range mushroom	1	6	8	
 grue egg omelette	1	6	9	
 grue egg omelette	1	6	10	
 Ol' Scratch's salad fork	1	6	11	
 Ol' Scratch's salad fork	1	6	12	
 spice melange	1	45	13	
 blackberry galoshes	1	58	14	
 Counterclockwise Watch	1	121	15	
 clockwork maid	1	121	16	
 etched hourglass	1	121	17	
 Twelve Night Energy	1	166	18	
 Shore Inc. Ship Trip Scrip	1	199	19	
 disassembled clover	1	204	20	
 wet stew	1	204	21	
 linoleum ore	2	228	22	
 linoleum ore	2	228	23	
 linoleum ore	2	228	24	
 ninja carabiner	2	228	25	
 ninja crampons	2	228	26	
 ninja rope	2	228	27	
 grue egg omelette	2	231	28	
 grue egg omelette	2	231	29	
 Ol' Scratch's salad fork	2	231	30	
 Ol' Scratch's salad fork	2	231	31	
 deck of lewd playing cards	2	234	32	
 wet stew	2	234	33	
 smut orc keepsake box	2	303	34	
 smut orc keepsake box	2	303	35	
 Crimboysters Rockefeller	2	417	36	
 Twelve Night Energy	2	436	37	
 spice melange	2	459	38	
 cold clusterbomb	2	461	39	
 Ultra Mega Sour Ball	2	461	40	
 pie man was not meant to eat	2	461	41	

====================
