LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS

====================
PULL	DAY	TURN	NUMBER
 cursed pony keg	1	1	1	
 brick	1	1	2	
 brick	1	1	3	
 brick	1	1	4	
 brick	1	1	5	
 brick	1	1	6	
 brick	1	1	7	
 brick	1	1	8	
 brick	1	1	9	
 brick	1	1	10	
 brick	1	1	11	
 brick	1	1	12	
 brick	1	1	13	
 brick	1	1	14	
 brick	1	1	15	
 brick	1	1	16	
 brick	1	1	17	
 brick	1	1	18	
 brick	1	1	19	
 brick	1	1	20	
 brick	1	1	21	
 brick	1	1	22	
 brick	1	1	23	
 brick	1	1	24	
 brick	1	1	25	
 brick	1	1	26	
 brick	1	1	27	
 brick	1	1	28	
 brick	1	1	29	
 brick	1	1	30	
 brick	1	1	31	
 brick	1	1	32	
 brick	1	1	33	
 brick	1	1	34	
 brick	1	1	35	
 brick	1	1	36	
 brick	1	1	37	
 brick	1	1	38	
 brick	1	1	39	
 brick	1	1	40	
 brick	1	1	41	
 brick	1	1	42	
 brick	1	1	43	
 brick	1	1	44	
 brick	1	1	45	
 brick	1	1	46	
 brick	1	1	47	
 brick	1	1	48	
 brick	1	1	49	
 brick	1	1	50	
 brick	1	1	51	
 brick	1	1	52	
 brick	1	1	53	
 brick	1	1	54	
 brick	1	1	55	
 brick	1	1	56	
 brick	1	1	57	
 brick	1	1	58	
 brick	1	1	59	
 brick	1	1	60	
 brick	1	1	61	
 brick	1	1	62	
 brick	1	1	63	
 brick	1	1	64	
 brick	1	1	65	
 brick	1	1	66	
 brick	1	1	67	
 brick	1	1	68	
 brick	1	1	69	
 brick	1	1	70	
 brick	1	1	71	
 brick	1	1	72	
 brick	1	1	73	
 brick	1	1	74	
 brick	1	1	75	
 brick	1	1	76	
 brick	1	1	77	
 brick	1	1	78	
 brick	1	1	79	
 brick	1	1	80	
 brick	1	1	81	
 brick	1	1	82	
 brick	1	1	83	
 brick	1	1	84	
 brick	1	1	85	
 brick	1	1	86	
 brick	1	1	87	
 brick	1	1	88	
 brick	1	1	89	
 brick	1	1	90	
 brick	1	1	91	
 brick	1	1	92	
 brick	1	1	93	
 brick	1	1	94	
 brick	1	1	95	
 brick	1	1	96	
 brick	1	1	97	
 brick	1	1	98	
 brick	1	1	99	
 brick	1	1	100	
 brick	1	1	101	
 brick	1	1	102	
 brick	1	1	103	
 brick	1	1	104	
 brick	1	1	105	
 brick	1	1	106	
 brick	1	1	107	
 brick	1	1	108	
 brick	1	1	109	
 brick	1	1	110	
 brick	1	1	111	
 cursed pirate cutlass	1	10	112	
 Crown of Thrones	1	10	113	
 moveable feast	1	11	114	
 leather aviator's cap	1	16	115	
 depleted Grimacite gravy boat	1	16	116	
 Crimbylow-rise jeans	1	16	117	
 gingerbeard	1	16	118	
 ticksilver ring	1	16	119	
 solid shifting time weirdness	1	16	120	
 cornucopia	1	16	121	
 cornucopia	1	16	122	
 cornucopia	1	16	123	
 cornucopia	1	16	124	
 cornucopia	1	16	125	
 cornucopia	1	16	126	
 cornucopia	1	16	127	
 cornucopia	1	16	128	
 cornucopia	1	16	129	
 cornucopia	1	16	130	
 cornucopia	1	16	131	
 Shore Inc. Ship Trip Scrip	2	16	132	
 Shore Inc. Ship Trip Scrip	2	16	133	
 Shore Inc. Ship Trip Scrip	2	16	134	
 stuffing fluffer	2	32	135	
 stuffing fluffer	2	32	136	
 stuffing fluffer	2	32	137	
 stuffing fluffer	2	32	138	
 stuffing fluffer	2	32	139	
 stuffing fluffer	2	32	140	
 stuffing fluffer	2	32	141	
 stuffing fluffer	2	32	142	
 stuffing fluffer	2	32	143	
 smut orc keepsake box	2	95	144	
 smut orc keepsake box	2	95	145	
 smut orc keepsake box	2	95	146	
 smut orc keepsake box	2	95	147	
 smut orc keepsake box	2	95	148	
 drum machine	2	179	149	
 deck of lewd playing cards	2	334	150	
 wet stew	2	334	151	
 disassembled clover	3	334	152	
 disassembled clover	3	334	153	
 grimstone mask	3	368	154	
 white pixel	3	417	155	
 white pixel	3	417	156	
 warbear drone codes	3	419	157	
 gauze garter	3	424	158	
 gauze garter	3	424	159	
 lowercase N	3	424	160	
 heavy D	3	424	161	

====================
