LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
 brick	1	1	61	
 brick	1	1	62	
 brick	1	1	63	
 brick	1	1	64	
 brick	1	1	65	
 brick	1	1	66	
 brick	1	1	67	
 brick	1	1	68	
 brick	1	1	69	
 brick	1	1	70	
 brick	1	1	71	
 brick	1	1	72	
 brick	1	1	73	
 brick	1	1	74	
 brick	1	1	75	
 brick	1	1	76	
 brick	1	1	77	
 brick	1	1	78	
 brick	1	1	79	
 brick	1	1	80	
 brick	1	1	81	
 brick	1	1	82	
 brick	1	1	83	
 brick	1	1	84	
 brick	1	1	85	
 brick	1	1	86	
 brick	1	1	87	
 brick	1	1	88	
 brick	1	1	89	
 brick	1	1	90	
 brick	1	1	91	
 brick	1	1	92	
 brick	1	1	93	
 brick	1	1	94	
 brick	1	1	95	
 brick	1	1	96	
 brick	1	1	97	
 brick	1	1	98	
 brick	1	1	99	
 brick	1	1	100	
 brick	1	1	101	
 brick	1	1	102	
 brick	1	1	103	
 brick	1	1	104	
 brick	1	1	105	
 brick	1	1	106	
 brick	1	1	107	
 brick	1	1	108	
 brick	1	1	109	
 brick	1	1	110	
 brick	1	1	111	
 brick	1	1	112	
 brick	1	1	113	
 brick	1	1	114	
 brick	1	1	115	
 brick	1	1	116	
 brick	1	1	117	
 brick	1	1	118	
 brick	1	1	119	
 brick	1	1	120	
 brick	1	1	121	
 brick	1	1	122	
 brick	1	1	123	
 brick	1	1	124	
 brick	1	1	125	
 Boris's Helm	2	8	126	
 Boris's Helm (askew)	2	8	127	

====================
